Unnamed: 0.1,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
0,0, Enjoying a beautiful day at the park!              , Positive  ,2023-01-15 12:30:00, User123      , Twitter  , #Nature #Park                            ,15.0,30.0, USA      ,2023,1,15,12
1,1, Traffic was terrible this morning.                 , Negative  ,2023-01-15 08:45:00, CommuterX    , Twitter  , #Traffic #Morning                        ,5.0,10.0, Canada   ,2023,1,15,8
2,2, Just finished an amazing workout! 💪               , Positive  ,2023-01-15 15:45:00, FitnessFan   , Instagram , #Fitness #Workout                        ,20.0,40.0, USA        ,2023,1,15,15
3,3, Excited about the upcoming weekend getaway!        , Positive  ,2023-01-15 18:20:00, AdventureX   , Facebook , #Travel #Adventure                       ,8.0,15.0, UK       ,2023,1,15,18
4,4, Trying out a new recipe for dinner tonight.        , Neutral   ,2023-01-15 19:55:00, ChefCook     , Instagram , #Cooking #Food                           ,12.0,25.0, Australia ,2023,1,15,19
5,5, Feeling grateful for the little things in life.    , Positive  ,2023-01-16 09:10:00, GratitudeNow , Twitter  , #Gratitude #PositiveVibes              ,25.0,50.0, India    ,2023,1,16,9
6,6, Rainy days call for cozy blankets and hot cocoa.   , Positive  ,2023-01-16 14:45:00, RainyDays    , Facebook , #RainyDays #Cozy                         ,10.0,20.0, Canada   ,2023,1,16,14
7,7, The new movie release is a must-watch!             , Positive  ,2023-01-16 19:30:00, MovieBuff    , Instagram , #MovieNight #MustWatch                  ,15.0,30.0, USA    ,2023,1,16,19
8,8, Political discussions heating up on the timeline.  , Negative  ,2023-01-17 08:00:00, DebateTalk   , Twitter  , #Politics #Debate                       ,30.0,60.0, USA      ,2023,1,17,8
9,9, Missing summer vibes and beach days.               , Neutral   ,2023-01-17 12:20:00, BeachLover   , Facebook , #Summer #BeachDays                      ,18.0,35.0, Australia ,2023,1,17,12
10,10, Just published a new blog post. Check it out!      , Positive  ,2023-01-17 15:15:00, BloggerX     , Instagram , #Blogging #NewPost                      ,22.0,45.0,USA,2023,1,17,15
11,11, Feeling a bit under the weather today.             , Negative  ,2023-01-18 10:30:00, WellnessCheck, Twitter  , #SickDay #Health                        ,7.0,15.0, Canada   ,2023,1,18,10
12,12, Exploring the city's hidden gems.                  , Positive  ,2023-01-18 14:50:00, UrbanExplorer, Facebook , #CityExplore #HiddenGems                ,12.0,25.0, UK       ,2023,1,18,14
13,13," New year, new fitness goals! 💪                    ", Positive  ,2023-01-18 18:00:00, FitJourney   , Instagram , #NewYear #FitnessGoals                  ,28.0,55.0, USA        ,2023,1,18,18
14,14, Technology is changing the way we live.            , Neutral   ,2023-01-19 09:45:00, TechEnthusiast, Twitter  , #Tech #Innovation                       ,15.0,30.0, India    ,2023,1,19,9
15,15, Reflecting on the past and looking ahead.          , Positive  ,2023-01-19 13:20:00, Reflections  , Facebook , #Reflection #Future                     ,20.0,40.0, USA      ,2023,1,19,13
16,16, Just adopted a cute furry friend! 🐾              , Positive  ,2023-01-19 17:10:00, PetAdopter   , Instagram , #PetAdoption #FurryFriend               ,15.0,30.0, Canada    ,2023,1,19,17
17,17, Late-night gaming session with friends.            , Positive  ,2023-01-20 00:05:00, GamerX       , Twitter  , #Gaming #LateNight                      ,18.0,35.0, UK       ,2023,1,20,0
18,18, Attending a virtual conference on AI.              , Neutral   ,2023-01-20 11:30:00, TechConference, Facebook , #AI #TechConference                     ,25.0,50.0,USA,2023,1,20,11
19,19, Winter blues got me feeling low.                   , Negative  ,2023-01-20 15:15:00, WinterBlues  , Instagram , #WinterBlues #Mood                      ,8.0,15.0, USA       ,2023,1,20,15
20,20, Sipping coffee and enjoying a good book.           , Positive  ,2023-01-21 08:40:00, Bookworm     , Twitter  , #Reading #CoffeeTime                    ,22.0,45.0, India    ,2023,1,21,8
21,21, Exploring the world of virtual reality.            , Positive  ,2023-01-21 13:20:00, VRExplorer   , Facebook , #VR #VirtualReality                     ,15.0,30.0,USA,2023,1,21,13
22,22, Productive day ticking off my to-do list.          , Positive  ,2023-01-21 16:45:00, ProductivityPro, Instagram , #Productivity #WorkFromHome           ,30.0,60.0, USA ,2023,1,21,16
23,23, Just finished a challenging workout routine.       , Positive  ,2023-01-22 09:15:00, FitnessWarrior, Twitter  , #Fitness #ChallengeAccepted             ,20.0,40.0, UK       ,2023,1,22,9
24,24, Celebrating a milestone at work! 🎉               , Positive  ,2023-01-22 14:30:00, CareerMilestone, Facebook , #Career #Milestone                      ,12.0,25.0, Canada  ,2023,1,22,14
25,25, Sunday brunch with friends.                        , Positive  ,2023-01-22 12:00:00, BrunchBuddy  , Instagram , #Brunch #Friends                       ,15.0,30.0, UK ,2023,1,22,12
27,28, Learning a new language for personal growth.       , Positive  ,2023-01-23 16:20:00, LanguageLearner, Facebook , #LanguageLearning #PersonalGrowth       ,25.0,50.0, India     ,2023,1,23,16
28,29, Quiet evening with a good book.                    , Positive  ,2023-01-23 19:45:00, BookLover    , Instagram , #Reading #QuietTime                     ,15.0,30.0, Australia ,2023,1,23,19
